id,genre
10118,Comedy
101183,Drama
101185,Drama
101185,History
101185,Romance
10119,Comedy
10119,Drama
101190,Action
101190,Comedy
101190,Crime
10120,Action
10120,Comedy
101206,Drama
101206,Romance
101206,Thriller
101217,Comedy
10122,Family
10122,Science Fiction
10122,Adventure
101226,Comedy
101226,Family
101231,Drama
101231,Mystery
10124,Horror
101242,Comedy
101242,Romance
10125,Thriller
10125,Drama
10126,Action
10126,Crime
10126,Drama
101267,Documentary
101267,Music
10127,Comedy
10127,Horror
10127,Science Fiction
10127,Thriller
10128,Crime
10128,Science Fiction
10128,Thriller
101281,Comedy
101288,Romance
101288,Drama
101289,Comedy
101289,Romance
101289,War
10129,Drama
101293,Drama
101293,Thriller
101293,Action
101293,Crime
101297,Drama
101299,Adventure
101299,Action
101299,Science Fiction
10130,Drama
101307,Drama
101308,Western
101308,Action
10131,Horror
10131,Thriller
10132,Drama
101325,Drama
10133,Thriller
10133,Science Fiction
10133,Mystery
101330,Drama
101338,Drama
101338,Foreign
10134,Action
10134,Science Fiction
101342,Comedy
10135,Action
10135,Thriller
101352,Comedy
10136,Action
10136,Adventure
10136,Comedy
101362,Comedy
101362,Adventure
101362,Crime
101363,Comedy
101363,Fantasy
101363,Family
10137,Animation
10137,Fantasy
10137,Family
10137,Comedy
101376,Documentary
101376,Foreign
10138,Adventure
10138,Action
10138,Science Fiction
101382,Drama
101383,Documentary
10139,History
10139,Drama
10140,Adventure
10140,Family
10140,Fantasy
10141,Crime
10141,Comedy
10142,Drama
10142,History
10142,War
101420,Thriller
101422,Horror
101422,Mystery
10144,Animation
10144,Family
101444,Crime
101444,Adventure
101444,Action
101444,War
101449,Comedy
101449,TV Movie
10145,Crime
10145,Drama
10145,Horror
10145,Mystery
10145,Science Fiction
10145,Thriller
10146,Comedy
10147,Drama
10147,Comedy
10147,Crime
101482,Comedy
101482,Drama
101482,Romance
10149,Comedy
10149,Drama
10150,Fantasy
10150,Animation
10150,Family
101501,Horror
101501,Thriller
101503,Animation
101503,Family
101503,Comedy
10151,Drama
101514,Drama
101514,Family
101514,Comedy
101514,TV Movie
101519,Comedy
101519,Thriller
10152,Comedy
101520,Documentary
10153,Science Fiction
101538,Animation
101538,Family
10154,Comedy
10154,Crime
10154,Romance
10155,Thriller
101553,Western
101557,Drama
101557,Western
10156,Comedy
101566,Drama
10157,Comedy
10157,Crime
10158,Comedy
10158,Drama
10159,Adventure
10159,Action
10159,Comedy
10159,Thriller
101598,Action
101598,Adventure
101598,War
10160,Horror
10160,Thriller
101609,Documentary
10161,Drama
10162,Comedy
10162,Romance
10163,Horror
10163,Thriller
10163,Science Fiction
10164,Comedy
10164,Drama
10165,Drama
10165,History
101652,Science Fiction
101653,Drama
10166,Adventure
10166,Fantasy
10166,Horror
101660,Drama
101660,Science Fiction
101660,Action
101660,Adventure
101665,Adventure
101669,Crime
101669,Drama
101669,Horror
